BB,01-002,35,45G,,,,,,x,10/15/2014,0.085,2014-10-27 + 2014-10-30,10/29/2014,24 124,235.6,86 115,595,11/24/2014,24 124,338.48,86 115,389.4,N/A,11/27/2014,24 124,338.4833333333,-0,-0,86 115,389.3833333333,-0,-0
BB,01-002,36,45G,,,,,,1.72,10/23/2014,N/A,N/A,11/7/2014,170,49.3,163,450.7,11/13/2014,170,108.3,163,203.2,N/A,11/27/2014,170,108.3,-0,-0,163,203.2333333333,-0,-0
BB,01-002,37,45G,,,,,,x,10/15/2014,N/A,N/A,11/7/2014,to be processed,to be processed,161,271.1,11/28/2014,161-t,63.6,161,203.4,N/A,11/28/2014,161-t,63.6,-0,-0,161,203.4,-0,-0
BB,01-002,38,45G,,,,,,x,10/15/2014,0.045,10/30/2014,10/31/2014,124,59.2,115,158.1,11/20/2014,124,90.88,115,95.05,N/A,11/27/2014,124,90.8833333333,-0,-0,115,95.05,-0,-0
BB,01-002,39,45G,,,,,,x,10/15/2014,0.09,10/28/2014,10/29/2014,2,164.8,69,397.4,11/10/2014,2,206.33,69,277.9,N/A,11/27/2014,2,206.3333333333,-0,-0,69,277.8666666667,-0,-0
BB,1,40,45G,,,,,,x,10/11/2014,0.3,11/6/2014,11/7/2014,to be processed,to be processed,161,271.1,11/28/2014,161-t,63.6,161,203.4,N/A,11/28/2014,161-t,63.6,-0,-0,161,203.4,-0,-0
YO,01-001,41,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,0.545,10/21/2014,10/29/2014,33,128.9,100,629.3,11/24/2014,33,211.05,100,397.15,10/24/2014,11/27/2014,33,211.05,1,422.1,100,397.15,2,794.3
YO,01-001,42,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,0.03,10/24/2014,10/29/2014,34,96.4,64,336.1,11/14/2014,34,120,64,69.33,10/24/2014,11/27/2014,34,120,1,360,64,69.3333333333,1,208
YO,01-001,43,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,0.02,10/24/2014,10/29/2014,34,96.4,64,336.1,11/14/2014,34,120,64,69.33,10/24/2014,11/27/2014,34,120,-0,-0,64,69.3333333333,-0,-0
YO,01-001,44,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,0.115,10/21/2014,10/29/2014,33,128.9,100,629.3,11/24/2014,33,211.05,100,397.15,10/24/2014,11/27/2014,33,211.05,-0,-0,100,397.15,-0,-0
YO,01-001,45,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,0.555,10/21/2014,10/29/2014,35,96.4,99,417,12/1/2014,35,95.4,99,219.67,10/24/2014,12/1/2014,35,95.4333333333,1,496.8,99,219.6666666667,2,659
YO,01-001,46,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,0.09,10/21/2014,10/29/2014,35,96.4,99,417,12/1/2014,35,95.4,99,219.7,10/24/2014,12/1/2014,35,95.4333333333,-0,-0,99,219.6666666667,-0,-0
YO,01-001,47,60G,,,,,,x,10/14/2014,0.075,10/21/2014,10/29/2014,35,96.4,99,417,12/1/2014,35,95.4,99,219.7,10/24/2014,12/1/2014,35,95.4333333333,-0,-0,99,219.6666666667,-0,-0
YO,01-001,48,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,0.025,10/24/2014,10/29/2014,34,96.4,64,336.1,11/14/2014,34,120,64,69.3,10/24/2014,11/27/2014,34,120,-0,-0,64,69.3333333333,-0,-0
YO,01-001,49,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,N/A,N/A,10/29/2014,36,83.73,68,231.3,11/14/2014,36,102.4,68,153.8,10/24/2014,11/27/2014,36,102.4,1,307.2,68,153.8,1,461.4
YO,01-001,50,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,N/A,N/A,10/29/2014,36,83.73,68,231.3,11/14/2014,36,102.4,68,153.8,10/24/2014,11/27/2014,36,102.4,-0,-0,68,153.8,-0,-0
YO,01-001,51,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,0.13,10/24/2014,10/29/2014,36,83.73,68,231.3,11/14/2014,36,102.4,68,153.8,10/24/2014,11/27/2014,36,102.4,-0,-0,68,153.8,-0,-0
YO,01-001,52,60G,,6.2,10/24/2014,x,10/14/2014,x,Destroyed,0.065,10/24/2014,10/29/2014,26,122.15,74,392.1,11/21/2014,26,182.3,74,188.5,10/24/2014,11/27/2014,26,182.3,1,364.6,74,188.5,1,377
YO,1,53,45G,,,,,,x,10/11/2014,0.235,11/6/2014,11/7/2014,to be processed,to be processed,157,380,12/4/2014,157-t,43.6,157,93.5,N/A,12/4/2014,157-t,43.6,1,87.2,157,93.5,1,187
